"ticket_id","title","description","priority","status","category","assignment_group","assignee","opened_at","resolved_at","closed_at","updated_at","source_system"
"TI-2024-0001","Laptop screen flickering intermittently on Dell Latitude 5540","My Dell Latitude 5540 screen has been flickering on and off for the past three days. It happens more frequently when I adjust the screen angle or connect to the docking station at my desk. I have updated the Intel HD graphics driver to version 31.0.101.5122 but the issue persists. The laptop is still under warranty (service tag: ABCD123E). I need this resolved urgently as I have client presentations next week and cannot work with an unreliable display. External monitor via HDMI works fine, which suggests it might be the LVDS cable or the panel itself.","Low","In Progress","Hardware","IT-Hardware-Support","Marcus Rivera","2026-01-26T05:41:52","","","2026-01-27T22:41:52","internal_portal"
"TI-2024-0002","Blue screen of death (BSOD) error CRITICAL_PROCESS_DIED on workstation WS-0142","Getting repeated BSOD with stop code CRITICAL_PROCESS_DIED approximately every 2-3 hours on workstation WS-0142. Windows Event Viewer shows the crashes correlate with the RpcEptMapper service failing. I ran sfc /scannow which found corrupt system files but was unable to repair them. The workstation runs Windows 11 Pro 23H2 with 32GB RAM and an NVIDIA RTX 4070. This started after the latest Windows Update KB5035853 was installed on Tuesday. I have already rolled back that update but the crashes continue. This is severely impacting my ability to compile and test software.","Critical","Open","Hardware","IT-Hardware-Support","Sarah Chen","2025-10-28T05:41:52","","","2025-10-28T13:41:52","internal_portal"
"TI-2024-0003","Printer on 3rd floor (HP LaserJet M609) jamming every 10-15 pages","The HP LaserJet Enterprise M609 on the 3rd floor near reception (asset tag HP-3F-007) has been jamming constantly since yesterday afternoon. It pulls paper from tray 2 but stops midway through the fuser. I have cleaned the rollers and checked for torn paper fragments inside, but found nothing unusual. Error code on the display reads 13.01.00. The printer has about 185,000 pages on it and was last serviced in October. About 15 people on this floor depend on it daily. Could someone please send a technician or arrange a replacement printer? This is really frustrating given we went through this same issue last year.","Medium","Open","Hardware","IT-Hardware-Support","James Okafor","2026-02-20T05:41:52","","","2026-02-20T07:41:52","email"
"TI-2024-0004","New ergonomic keyboard and mouse requested for workstation","I would like to request an ergonomic keyboard and mouse setup. I have been experiencing wrist discomfort for the past few weeks and my doctor recommended switching to ergonomic peripherals. I am looking at the Logitech ERGO K860 keyboard and MX Master 3S mouse. My employee ID is EMP-4821 and my cost center is CC-MKT-300. I checked the procurement catalog and both items are approved standard peripherals. Could you please process this request? Thank you!","Low","Closed","Hardware","IT-Procurement","Diana Patel","2026-03-12T05:41:52","2026-03-18T05:41:52","2026-03-20T05:41:52","2026-03-20T05:41:52","service_catalog"
"TI-2024-0005","Server rack cooling fan failure in data center Room B","CRITICAL ALERT from monitoring system: Cooling fan unit FAN-DC-B-04 in server rack RACK-B12 in data center Room B has failed. Current rack temperature reading is 28.3C and rising at approximately 0.5C per hour. The redundant fan FAN-DC-B-05 is still operational but running at elevated RPM. Ambient data center temperature is normal at 21C. CRAC unit DC-CRAC-03 appears to be functioning correctly. Please dispatch facilities team immediately. If temperature exceeds 35C we will need to begin graceful shutdown of affected servers: PROD-DB-01 (10.10.5.21), PROD-APP-03 (10.10.5.42), and PROD-APP-04 (10.10.5.43).","Critical","Resolved","Hardware","IT-Datacenter-Ops","Robert Nguyen","2026-01-29T05:41:52","2026-02-03T05:41:52","","2026-02-03T05:41:52","monitoring"
"TI-2024-0006","MacBook Pro battery not charging - only works when MagSafe is at specific angle","My company MacBook Pro 16-inch (2023, M2 Pro) has developed a charging issue over the past week. The MagSafe connector only charges when held at a very specific angle. I have tried three different chargers and two different power outlets so the issue is definitely with the laptop's charging port, not the adapter. Battery health in System Information shows 92% capacity with 147 charge cycles. The laptop is covered under AppleCare+. I cannot work untethered and this is causing problems when I need to take my laptop to meetings. Could we get this sent out for repair?","High","In Progress","Hardware","IT-Hardware-Support","Emily Tran","2025-11-02T05:41:52","","","2025-11-04T05:41:52","internal_portal"
"TI-2024-0007","Dual monitor setup not detecting second display after Windows update","After installing Windows 11 update KB5035942, my second monitor (Dell U2723QE via USB-C) is no longer detected. Device Manager shows an unknown USB device with error code 43. I have tried uninstalling and reinstalling the DisplayLink driver (version 11.2.2624.0), updating the Dell USB-C dock firmware to version 2.00.11.00, and resetting the display settings. The dock still works for USB peripherals and Ethernet, just not video output. My primary display connected via DisplayPort works fine. Please help - I really rely on dual monitors for my workflow and this is killing my productivity. I am running the latest BIOS version 1.18.0 on my ThinkPad T14s Gen 4.","Low","Open","Hardware","IT-Hardware-Support","","2025-10-26T05:41:52","","","2025-10-26T23:41:52","email"
"TI-2024-0008","Request to surplus and dispose of 12 old desktop workstations","We have 12 Dell OptiPlex 7070 micro desktops in storage room 204-B that are no longer needed. They were replaced during the Q3 refresh cycle. All have been wiped and have their drives removed. Asset tags are: DT-2020-1101 through DT-2020-1112. They are approximately 4 years old, Core i5-10500T with 16GB RAM. I believe they still have some residual value. Could IT arrange for proper surplus disposal per company policy? We need the storage space cleared by end of month for the new lab setup. Thank you!","Low","Closed","Hardware","IT-Asset-Management","Kevin Wright","2026-04-01T05:41:52","2026-04-04T05:41:52","2026-04-09T05:41:52","2026-04-09T05:41:52","service_catalog"
"TI-2024-0009","Microsoft Outlook freezing when switching between folders","Outlook 365 (desktop version, Build 16.0.14326.21162) freezes for 15-30 seconds every time I switch between my Inbox and any subfolder. The status bar shows 'Processing...' during the freeze. My OST file is 4.8 GB and I have about 45,000 items in my mailbox. I have already tried running Outlook in safe mode, disabling all COM add-ins, creating a new Outlook profile, and repairing the Office installation from Control Panel. Nothing has helped. Other Office apps work fine. This started about two weeks ago and is getting progressively worse. I am on Windows 11 Enterprise 23H2.","Medium","Open","Software","IT-App-Support","Lisa Park","2026-01-19T05:41:52","","","2026-01-19T21:41:52","email"
"TI-2024-0010","SAP GUI 7.70 crashes when executing transaction SE16 on large tables","SAP GUI for Windows version 7.70 patch level 4 crashes consistently when I try to display the contents of large tables (e.g., VBAK with 2M+ records) using transaction SE16. The application becomes unresponsive and then closes with a Windows error dialog saying 'sapgui.exe has stopped working'. I have tested this on three different workstations with the same result. Our SAP system is S/4HANA 2023 FPS01. Smaller tables work fine. I increased the GUI memory allocation to 4096 MB via saplogon.ini but it did not help. This is blocking our year-end data reconciliation process that must be completed by Friday.","Critical","In Progress","Software","IT-ERP-Support","Thomas Muller","2025-10-31T05:41:52","","","2025-10-31T20:41:52","internal_portal"
